word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
lost,হারিয়ে গেছে,"To cause (something) to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons.",He lost his hearing in the explosion.,verb,,
lot,অনেক,A large quantity or number; a great deal.,lots of people think so,noun,/lɒt/,
loud,জোরে,A loud sound or part of a sound.,,noun,/laʊd/,
love,প্রেম,Strong affection.,,noun,/lʊv/,
lover,প্রেমিক,"One who loves and cares for another person in a romantic way; a sweetheart, love, soulmate, boyfriend, girlfriend or spouse.",,noun,/ˈlʌvə/,
low,কম,Something that is low; a low point.,Economic growth has hit a new low.,noun,/ləʊ/,
lower 1,নিম্ন 1,,,,,
loyal,অনুগত,Having or demonstrating undivided and constant support for someone or something.,,adjective,/ˈlɔɪəl/,
luck,ভাগ্য,"Something that happens to someone by chance, a chance occurrence, especially a favourable one.",Gilbert had some bad luck yesterday — he got pick-pocketed and lost fifty dollars.,noun,/lʊk/,
lucky,ভাগ্যবান,(of people) Favoured by luck; fortunate; having good success or good fortune,The downed pilot is very lucky to be alive.,adjective,/ˈlʌki/,
lump,পিণ্ড,"Something that protrudes, sticks out, or sticks together; a cluster or blob; a mound or mass of no particular shape.",Stir the gravy until there are no more lumps.,noun,/lʌmp/,
lunch,দুপুরের খাবার,"A light meal usually eaten around midday, notably when not as main meal of the day.",,noun,/lʌnt͡ʃ/,
lung,ফুসফুস,A biological organ of vertebrates that controls breathing and oxygenates the blood.,,noun,/ˈlʌŋ/,
machine,মেশিন,"A device that directs and controls energy, often in the form of movement or electricity, to produce a certain effect.",,noun,,
machinery,যন্ত্রপাতি,"The machines constituting a production apparatus, in a plant etc., collectively.",,noun,/məˈʃiːnəɹi/,
mad,পাগল,To be or become mad.,,verb,/ˈmæːd/,
magazine,পত্রিকা,"A non-academic periodical publication, generally consisting of sheets of paper folded in half and stapled at the fold.",,noun,/mæɡəˈziːn/,
magic,জাদু,"The application of rituals or actions, especially those based on occult knowledge, to subdue or manipulate natural or supernatural beings and forces in order to have some benefit from them",,noun,/ˈmadʒɪk/,
mail,মেইল,A bag or wallet.,,noun,/meɪ̯l/,
main,প্রধান,Short for mainline.,,verb,,
mainly,প্রধানত,"Forcefully, vigorously.",,adverb,/ˈmeɪnli/,
maintain,বজায় রাখা,"To support (someone), to back up or assist (someone) in an action.",,verb,/meɪnˈteɪn/,
major,প্রধান,A military rank between captain and lieutenant colonel.,He used to be a major in the army.,noun,,
majority,সংখ্যাগরিষ্ঠ,More than half (50%) of some group.,The majority agreed that the new proposal was the best.,noun,/məˈd͡ʒɒɹɪti/,
make,করা,Brand or kind; model.,What make of car do you drive?,noun,/meɪk/,
makeup,মেকআপ,An item's composition.,"To understand how a nuclear reactor works, we must first look at its makeup.",noun,,
male,পুরুষ,One of the male (masculine) sex or gender.,,noun,/meɪl/,
mall,মল,"A pedestrianised street, especially a shopping precinct.",,noun,/mɔːl/,
man,মানুষ,An adult male human.,The show is especially popular with middle-aged men.,noun,[mɛn],
manage,পরিচালনা,The act of managing or controlling something.,,noun,/ˈmænɪdʒ/,
management,ব্যবস্থাপনা,"Administration; the use of limited resources combined with forecasting, planning, leadership and execution skills to achieve predetermined specific goals.",,noun,/ˈmænədʒmənt/,
manager,ম্যানেজার,"A person whose job is to manage something, such as a business, a restaurant, or a sports team.",,noun,/ˈmæn.ɪ.dʒə/,
manner,পদ্ধতি,Mode of action; way of performing or doing anything,,noun,/ˈmænə/,
manufacture,উত্পাদন,The action or process of making goods systematically or on a large scale.,,noun,/ˌmænjʊˈfæktʃə/,
manufacturer,প্রস্তুতকারক,One that manufactures,,noun,/ˌmænjuˈfæktʃɚ(ɹ)ɚ/,
manufacturing,উত্পাদন,"To make things, usually on a large scale, with tools and either physical labor or machinery.",,verb,/ˌmænjʊˈfækt͡ʃəɹɪŋ/,
many,অনেক,A multitude; a great aggregate; a mass of people; the generality; the common herd.,Democracy must balance the rights of the few against the will of the many.,noun,/ˈmæni/,
map,মানচিত্র,"A visual representation of an area, whether real or imaginary.",,noun,/mæp/,
march,মার্চ,"A formal, rhythmic way of walking, used especially by soldiers, bands and in ceremonies.",,noun,/mɑːtʃ/,
mark,চিহ্ন,"(heading) Boundary, land within a boundary.",,noun,/mɑɹk/,
market,বাজার,"A gathering of people for the purchase and sale of merchandise at a set time, often periodic.",The privilege to hold a weekly market was invaluable for any feudal era burgh.,noun,/ˈmɑːkɪt/,
marketing,মার্কেটিং,To make (products or services) available for sale and promote them.,We plan to market an ecology model by next quarter.,verb,,
marriage,বিবাহ,The state of being married.,You should enter marriage for love.,noun,/ˈmæɹɪdʒ/,
married,বিবাহিত,A married person.,,noun,/ˈmæɹ.ɪd/,
marry,বিয়ে,To enter into the conjugal or connubial state; to take a husband or a wife.,Neither of her daughters showed any desire to marry.,verb,/ˈmæɹɪ/,
mass,ভর,"(physical) Matter, material.",,noun,/mæs/,
massive,বিশাল,"A homogeneous mass of rock, not layered and without an obvious crystal structure.",karst massives in western Georgia,noun,/ˈmæs.ɪv/,
master,মাস্টার,Someone who has control over something or someone.,,noun,/ˈmastə/,
match,ম্যাচ,"A competitive sporting event such as a boxing meet, a baseball game, or a cricket match.",My local team are playing in a match against their arch-rivals today.,noun,/mæt͡ʃ/,
matching,ম্যাচিং,To agree; to be equal; to correspond.,"Their interests didn't match, so it took a long time to agree what to do together.",verb,/ˈmætʃɪŋ/,
mate,সঙ্গী,"A fellow, comrade, colleague, partner or someone with whom something is shared, e.g. shipmate, classmate.",,noun,/meɪt/,
material,উপাদান,"Matter which may be shaped or manipulated, particularly in making something.","Asphalt, composed of oil and sand, is a widely used material for roads.",noun,/məˈtɪəɹɪəl/,
math,গণিত,A mowing; what is gathered from mowing.,,noun,/mɑːθ/,
mathematics,গণিত,"An abstract representational system used in the study of numbers, shapes, structure, change and the relationships between these concepts.",,noun,/mæθ(ə)ˈmætɪks/,
matter,ব্যাপার,"Substance, material.",,noun,/ˈmætə/,
maximum,সর্বোচ্চ,The highest limit,,noun,/ˈmæksɪməm/,
maybe,হয়তো,Something that is possibly true.,,noun,/ˈmeɪbi/,
mayor,মেয়র,"The chief executive of the municipal government of a city, borough, &c., formerly usually appointed as a caretaker by European royal courts but now usually appointed or elected locally.",,noun,/ˈmeɪ.ə/,
me,আমি,As the direct object of a verb.,Can you hear me?,pronoun,,
meal,খাবার,"Food that is prepared and eaten, usually at a specific time, and usually in a comparatively large quantity (as opposed to a snack).","Breakfast is the morning meal, lunch is the noon meal, and dinner, or supper, is the evening meal.",noun,/miːl/,
mean,মানে,To lament.,,verb,/miːn/,
meaning,অর্থ,"(of words or symbols) The entity, perception, feeling or concept thereby represented or evoked.",,noun,/ˈmiːnɪŋ/,
means,মানে,To lament.,,verb,/miːnz/,
meanwhile,এদিকে,The time between two events.,,noun,/ˈmiːnhwaɪl/,
measure,পরিমাপ,A prescribed quantity or extent.,,noun,/ˈmɛʒə/,
measurement,পরিমাপ,The act of measuring.,,noun,/ˈmeʒ.ə.mənt/,
meat,মাংস,The flesh (muscle tissue) of an animal used as food.,A large portion of domestic meat production comes from animals raised on factory farms.,noun,/miːt/,
media,মিডিয়া,The middle layer of the wall of a blood vessel or lymph vessel which is composed of connective and muscular tissue.,,noun,/ˈmiːdɪə/,
medical,চিকিৎসা,A medical examination.,You'll have to get a medical before you apply for that job.,noun,/ˈmɛdɪkl̩/,
medicine,ওষুধ,A substance which specifically promotes healing when ingested or consumed in some way.,,noun,/ˈmed(ɪ).sn̩/,
medium,মাঝারি,"(plural media or mediums) The chemistry of the surrounding environment, e.g. solid, liquid, gas, vacuum, or a specific substance such as a solvent.",,noun,/ˈmiːdɪəm/,
meet,দেখা,"A sports competition, especially for track and field (a track meet) or swimming (a swim meet).",,noun,/miːt/,
meeting,মিটিং,(gerund) The act of persons or things that meet.,Meeting him will be exciting. I enjoy meeting new people.,noun,/ˈmiːtɪŋ/,
melt,গলে,"Molten material, the product of melting.",,noun,/mɛlt/,
member,সদস্য,One who officially belongs to a group.,,noun,,
membership,সদস্যপদ,The state of being a member of a group or organization.,He has memberships in clubs in three cities.,noun,,
memory,স্মৃতি,The ability of the brain to record information or impressions with the facility of recalling them later at will.,Memory is a facility common to all animals.,noun,/ˈmɛm(ə)ɹi/,
mental,মানসিক,Of or relating to the mind or an intellectual process.,,adjective,/ˈmɛntəl/,
mentally,মানসিকভাবে,"In a mental manner; an idea thought out in one's mind, as opposed to an idea spoken orally.",,adverb,/ˈmɛntəli/,
mention,উল্লেখ,"A speaking or notice of anything, usually in a brief or cursory manner. Used especially in the phrase make mention of.",,noun,/ˈmɛnʃən/,
menu,মেনু,The details of the food to be served at a banquet; a bill of fare.,,noun,/ˈmɛnju/,
mere,নিছক,"A body of standing water, such as a lake or a pond. More specifically, it can refer to a lake that is broad in relation to its depth. Also included in place names such as Windermere.",,noun,,
merely,নিছক,"Wholly, entirely.",,adverb,/ˈmɪəli/,
mess,মেস,"A disagreeable mixture or confusion of things; hence, a situation resulting from blundering or from misunderstanding; disorder.",He made a mess of it.,noun,/mɛs/,
message,বার্তা,"A communication, or what is communicated; any concept or information conveyed.",We've just received an urgent message from the President.,noun,/ˈmɛsɪd͡ʒ/,
messy,অগোছালো,"(of a place, situation, person, etc) In a disorderly state; chaotic; disorderly.",Jim ran his fingers through his messy brown hair.,adjective,/ˈmɛsi/,
metal,ধাতু,"(heading) Chemical elements or alloys, and the mines where their ores come from.",,noun,/ˈmɛtəl/,
method,পদ্ধতি,"A process by which a task is completed; a way of doing something (followed by the adposition of, to or for before the purpose of the process):","If one method doesn't work, you should ask a friend to help you.",noun,/ˈmɛθəd/,
mg,মিলিগ্রাম,,,,,
mid-,মধ্য-,,,,,
middle,মধ্যম,"A centre, midpoint.",The middle of a circle is the point which has the same distance to every point of circle.,noun,/ˈmɪdəl/,
midnight,মধ্যরাত,"The middle of the night: the sixth temporal hour, equidistant between sunset and sunrise.",,noun,/ˈmɪdnʌɪt/,
might,পারে,"Power, strength, force or influence held by a person or group.",,noun,/maɪt/,
mild,হালকা,"A relatively low-gravity beer, often with a dark colour; mild ale",,noun,/ˈmaɪld/,
mile,মাইল,"The international mile: a unit of length precisely equal to 1.609344 kilometers established by treaty among Anglophone nations in 1959, divided into 5,280 feet or 1,760 yards.",,noun,/maɪ̯l/,
military,সামরিক,Armed forces.,He spent six years in the military.,noun,/ˈmɪl.ɪ.tɹi/,
milk,দুধ,"A white liquid produced by the mammary glands of female mammals to nourish their young. From certain animals, especially cows, it is also called dairy milk and is a common food for humans as a beverage or used to produce various dairy products such as butter, cheese, and yogurt.",,noun,[mɛlk],
milligram,মিলিগ্রাম,"An SI unit of mass, equivalent to one thousandth of a gram. Symbol: mg",,noun,/ˈmɪlɪɡɹæm/,
millimeter,মিলিমিটার,"An SI/MKS unit of measure, the length of 1/1000 of a meter. Symbol: mm",,noun,,
mind,মন,The ability for rational thought.,"Despite advancing age, his mind was still as sharp as ever.",noun,/maɪnd/,
mine,আমার,My; belonging to me; that which belongs to me.,,pronoun,/maɪn/,
mineral,খনিজ,Any naturally occurring inorganic material that has a (more or less) definite chemical composition and characteristic physical properties.,,noun,/ˈmɪ.nəɹ.əl/,
minimum,সর্বনিম্ন,The lowest limit.,We need a minimum of three staff members on duty at all time.,noun,/ˈmɪn.ɪ.məm/,
minister,মন্ত্রী,"A person who is trained to preach, to perform religious ceremonies, and to afford pastoral care at a Protestant church.",The minister said a prayer on behalf of the entire congregation.,noun,/ˈmɪnɪstə/,
ministry,মন্ত্রণালয়,"Government department, at the administrative level normally headed by a minister (or equivalent rank, e.g. secretary of state), who holds it as portfolio, especially in a constitutional monarchy, but also as a polity",She works for the ministry of finance.,noun,/ˈmɪnɪstɹi/,
minor,নাবালক,"A person who is below the age of majority, consent, criminal responsibility or other adult responsibilities and accountabilities.",It is illegal to sell weapons to minors under the age of eighteen.,noun,/ˈmaɪnɚ/,
minority,সংখ্যালঘু,"The state of being a minor; youth, the period of a person's life prior to reaching adulthood.",,noun,/maɪˈnɒɹ.ɪ.ti/,
minute 1,মিনিট 1,,,,,
mirror,আয়না,"A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.",I had a look in the mirror to see if the blood had come off my face.,noun,/ˈmɘ.ɹɘ/,
miss,মিস,A failure to hit.,,noun,/mɪs/,
missing,অনুপস্থিত,To fail to hit.,I missed the target.,verb,/ˈmɪsɪŋ/,
mistake,ভুল,An error; a blunder.,,noun,/mɪˈsteɪk/,
mistaken,ভুল,"To understand wrongly, taking one thing or person for another.",Don't mistake my kindness for weakness.,verb,/mɪsˈteɪkən/,
mix,মিশ্রণ,To stir together.,Mix the eggs and milk with the flour until the consistency is smooth.,verb,/ˈmɪks/,
mixed,মিশ্রিত,To stir together.,Mix the eggs and milk with the flour until the consistency is smooth.,verb,/mɪkst/,
mixture,মিশ্রণ,The act of mixing.,,noun,/ˈmɪkstʃə/,
mm,মিমি,An expression used to show contentment for something,"Mmm, this is a tasty pie!",interjection,,
mobile,মোবাইল,A kinetic sculpture or decorative arrangement made of items hanging so that they can move independently from each other.,,noun,/ˈməʊbaɪl/,
model,মডেল,"A person who serves as a subject for artwork or fashion, usually in the medium of photography but also for painting or drawing.",The beautiful model had her face on the cover of almost every fashion magazine imaginable.,noun,/ˈmɒdl̩/,
modern,আধুনিক,Someone who lives in modern times.,,noun,/ˈmɒd(ə)n/,
mom,মা,(familiar) mother.,,noun,/mʌm/,
moment,মুহূর্ত,"A brief, unspecified amount of time.","Wait a moment, while I lock the front door.",noun,/ˈməʊmənt/,
money,টাকা,"A legally or socially binding conceptual contract of entitlement to wealth, void of intrinsic value, payable for all debts and taxes, and regulated in supply.",,noun,/ˈmʌni/,
monitor,মনিটর,Someone who watches over something; a person in charge of something or someone.,"The camp monitors look after the children during the night, when the teachers are asleep.",noun,/ˈmɒnɨtə/,
month,মাস,"A period into which a year is divided, historically based on the phases of the moon.",July is my favourite month.,noun,/mʌnθ/,
mood,মেজাজ,"A mental or emotional state, composure.",I've been in a bad mood since I dumped my boyfriend.,noun,/muːd/,
moon,চাঁদ,"The Earth's moon Luna; the sole natural satellite of the Earth, represented in astronomy and astrology by ☾.",,proper noun,/muːn/,
moral,নৈতিক,(of a narrative) The ethical significance or practical lesson.,,noun,/ˈmɒɹəl/,
morally,নৈতিকভাবে,In terms of morals or ethics.,"Morally, it is a difficult issue to deal with.",adverb,/ˈmɒɹəli/,
more,আরো,To a greater degree or extent.,I could no more climb that than fly!,adverb,/ˈmɔː/,
moreover,অধিকন্তু,In addition to what has been said; furthermore; additionally.,,adverb,/mɔːˈɹəʊvə/,
morning,সকাল,The part of the day from dawn to noon.,I'll see you tomorrow morning.,noun,/ˈmɔːnɪŋ/,
most,সর্বাধিক,The greatest amount.,"The most I can offer for the house is $150,000.",noun,/ˈməʊst/,
mostly,বেশিরভাগ,"Mainly or chiefly; for the most part; usually, generally, on the whole.","They're mostly good people, although they have made a few mistakes.",adverb,/ˈməʊstli/,
mother,মা,A (human) female who has given birth to a baby,He had something of his mother in him.,noun,,
motion,গতি,A state of progression from one place to another.,,noun,/ˈməʊʃən/,
motor,মোটর,"A machine or device that converts other energy forms into mechanical energy, or imparts motion.",,noun,/ˈməʊtə/,
motorcycle,মোটরসাইকেল,"An open-seated motor vehicle with handlebars instead of a steering wheel, and having two (or sometimes three) wheels.",,noun,/ˈməʊtəˌsaikəl/,
mount,মাউন্ট,A hill or mountain.,,noun,/maʊnt/,
mountain,পর্বত,"An elevation of land of considerable dimensions rising more or less abruptly, forming a conspicuous figure in the landscape, usually having a small extent of surface at its summit.",We spent the weekend hiking in the mountains.,noun,/ˈmaʊntɪn/,
mouse,মাউস,Any small rodent of the genus Mus.,,noun,,
mouth,মুখ,The opening of a creature through which food is ingested.,"""Open your mouth and say 'aah',"" directed the doctor.",noun,/mʌʊθ/,
move,সরানো,The act of moving; a movement.,"A slight move of the tiller, and the boat will go off course.",noun,/muːv/,
movement,আন্দোলন,Physical motion between points in space.,I saw a movement in that grass on the hill.,noun,/ˈmuːv.mənt/,
movie,চলচ্চিত্র,A recorded sequence of images displayed on a screen at a rate sufficiently fast to create the appearance of motion.,,noun,/ˈmuːvi/,
movie theater,সিনেমা থিয়েটার,A building where movies are shown to an audience; a cinema.,,noun,/ˈmuvi ˌθi.ətɚ/,
moving,চলন্ত,"To change place or posture; to go, in any manner, from one place or position to another.",A ship moves rapidly.,verb,/ˈmuːvɪŋ/,
much,অনেক,"Large, great.",,adjective,/mʌt͡ʃ/,
mud,কাদা,A mixture of water and soil or fine grained sediment.,,noun,/mʌd/,
multiply,গুণ,An act or instance of multiplying.,,noun,/ˈmʌltɪplaɪ/,
murder,হত্যা,The crime of deliberately killing another person without justification.,The defendant was charged with murder.,noun,/ˈmɜːdə(ɹ)/,
muscle,পেশী,A contractile form of tissue which animals use to effect movement.,Muscle consists largely of actin and myosin filaments.,noun,/ˈmʌs.əl/,
museum,যাদুঘর,"A building or institution dedicated to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value.",,noun,/mjuːˈziːəm/,
music,সঙ্গীত,"A series of sounds organized in time, employing melody, harmony, tempo etc. usually to convey a mood.",I keep listening to this music because it's a masterpiece.,noun,/ˈmjuːzɪk/,
musical,বাদ্যযন্ত্র,"A stage performance, show or film that involves singing, dancing and musical numbers performed by the cast as well as acting.",,noun,/ˈmju.zɪ.kəl/,
musician,সঙ্গীতজ্ঞ,"A composer, conductor, or performer of music; specifically, a person who sings and/or plays a musical instrument as a hobby, an occupation, or a profession.",,noun,/mjuˈzɪʃən/,
must,আবশ্যক,Something that is mandatory or required.,"If you'll be out all day, a map is a must.",noun,,
my,আমার,"Used to express surprise, shock or amazement.","My, what big teeth you have!",interjection,/mi/,
myself,নিজেকে,"(reflexive pronoun) Me, as direct or indirect object the speaker as the object of a verb or preposition, when the speaker is also the subject.",I taught myself.,pronoun,/maɪˈsɛlf/,
mysterious,রহস্যময়,Of unknown origin.,He received a mysterious phone call this morning.,adjective,/mɪˈstɪəɹi.əs/,
mystery,রহস্য,Something secret or unexplainable; an unknown.,The truth behind the events remains a mystery.,noun,/ˈmɪstəɹi/,
nail,পেরেক,"The thin, horny plate at the ends of fingers and toes on humans and some other animals.",When I'm nervous I bite my nails.,noun,/neɪl/,
naked,নগ্ন,"Bare, not covered by clothing.",She was as naked as the day she was born.,adjective,/ˈnɛkɪd/,
name,নাম,"Any nounal word or phrase which indicates a particular person, place, class, or thing.",I've never liked the name my parents gave me so I changed it at the age of twenty.,noun,/neɪm/,
narrow,সংকীর্ণ,"(chiefly in the plural) A narrow passage, especially a contracted part of a stream, lake, or sea; a strait connecting two bodies of water.",the narrows of New York harbor,noun,/ˈnæɹəʊ/,
nation,জাতি,"A historically constituted, stable community of people, formed on the basis of a common language, territory, economic life, ethnicity and/or psychological make-up manifested in a common culture.",The Kurdish people constitute a nation in the Middle East,noun,/ˈneɪ.ʃən/,
national,জাতীয়,A subject of a nation.,The diplomats were advised not to interact with any foreign nationals except on official duty.,noun,/ˈnæʃ(ə)nəl/,
native,স্থানীয়,An aboriginal inhabitant of a region colonized by English-speaking people; in particular:,,noun,/ˈneɪtɪv/,
natural,প্রাকৃতিক,"A native inhabitant of a place, country etc.",,noun,/ˈnætʃəɹəl/,
naturally,স্বাভাবিকভাবে,In a natural manner.,"Although he was unused to the situation, he tried to act naturally.",adverb,/ˈnætʃ(ə)ɹəli/,
nature,প্রকৃতি,"The natural world; that which consists of all things unaffected by or predating human technology, production, and design. (Compare ecosystem.)",Nature never lies (i.e. tells untruths).,noun,/ˈnæɪ̯tʃə/,
navy,নৌবাহিনী,"A country's entire sea force, including ships and personnel.",,noun,/ˈneɪvi/,
near,কাছাকাছি,The left side of a horse or of a team of horses pulling a carriage etc.,,noun,/nɪə(ɹ)/,
nearby,কাছাকাছি,"Adjacent, near, close by",He stopped at a nearby store for some groceries.,adjective,,
nearly,প্রায়,With great scrutiny; carefully.,,adverb,/ˈniːɹli/,
neat,ঝরঝরে,"An artificial intelligence researcher who believes that solutions should be elegant, clear and provably correct. Compare scruffy.",,noun,/niːt/,
necessarily,অগত্যা,Inevitably; of necessity.,It is not necessarily true that children get their morals from their parents.,adverb,/ˌnɛsəˈsɛɹəli/,
necessary,প্রয়োজনীয়,"(usually with the definite article) A place to do the ""necessary"" business of urination and defecation: an outhouse or lavatory.",,noun,/ˈnɛsəsɹɪ/,
neck,ঘাড়,The part of the body connecting the head and the trunk found in humans and some animals.,Giraffes have long necks.,noun,/nɛk/,
need,প্রয়োজন,A requirement for something; something needed.,"I've always tried to have few needs beyond food, clothing and shelter.",noun,/niːd/,
needle,সুই,"A fine, sharp implement usually for piercing such as sewing, or knitting, acupuncture, tattooing, body piercing, medical injections, etc.",The seamstress threaded the needle to sew on a button.,noun,,
negative,নেতিবাচক,"Refusal or withholding of assents; prohibition, veto",,noun,/ˈnɛ(e)ɡəˌɾɪv/,
neighbor,প্রতিবেশী,A person living on adjacent or nearby land; a person situated adjacently or nearby; anything (of the same type of thing as the subject) in an adjacent or nearby position.,My neighbour has two noisy cats.,noun,,
neighborhood,পাড়া,"The quality of being a neighbor, of living nearby, next to each-other; proximity.",Our neighborhood was our only reason to exchange hollow greetings.,noun,/ˈneɪbə.hʊd/,
neither,না,Similarly not.,"Just as you would not correct it, neither would I.",adverb,/ˈnaɪð.ə(ɹ)/,
nephew,ভাতিজা,"A son of one's sibling, brother-in-law, or sister-in-law; either a son of one's brother (fraternal nephew) or a son of one's sister (sororal nephew).",,noun,/ˈnɛf.ju/,
nerve,স্নায়ু,"A bundle of neurons with their connective tissue sheaths, blood vessels and lymphatics.",The nerves can be seen through the skin.,noun,/nɛɾv/,
nervous,নার্ভাস,Of sinews and tendons.,,adjective,,
nest,নীড়,A structure built by a bird as a place to incubate eggs and rear young.,,noun,/nɛst/,
net,নেট,,,,,
network,নেটওয়ার্ক,A fabric or structure of fibrous elements attached to each other at regular intervals.,,noun,/nɛtwɜːk/,
never,কখনই,At no time; on no occasion; in no circumstance.,"I finally finished, and I never want to do that again.",adverb,/ˈnɛv.ə(ɹ)/,
nevertheless,তবুও,In spite of what preceded; yet.,,adverb,/ˈnɛvəðəlɛs/,
new,নতুন,Things that are new.,"Out with the old, in with the new.",noun,/njʉː/,
newly,নতুনভাবে,Very recently; in the immediate past.,She smelled the newly budding flowers.,adverb,/ˈnjuːli/,
news,খবর,New information of interest.,Is there any news about the storm?,noun,/njuːz/,
newspaper,সংবাদপত্র,"A publication, usually published daily or weekly and usually printed on cheap, low-quality paper, containing news and other articles.",,noun,/ˈnjuːsˌpeɪpə/,
next,পরবর্তী,The one that follows after this one.,"Next, please, don't hold up the queue!",noun,/nɛkst/,
next to,পাশে,"Beside, alongside, by, adjacent to, or near.",Cleanliness is next to godliness.,preposition,,
nice,চমৎকার,Niceness.,,noun,/naɪs/,
nicely,সুন্দরভাবে,Fastidiously; carefully.,,adverb,/ˈnʌɪsli/,
niece,ভাতিজি,"A daughter of one’s sibling, brother-in-law, or sister-in-law; either the daughter of one's brother (""fraternal niece""), or of one's sister (""sororal niece"").",My niece just celebrated her 15th birthday.,noun,/niːs/,
night,রাত,"The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.",How do you sleep at night when you attack your kids like that!?,noun,/naɪt/,
no,না,A negating expression; an answer that shows disagreement or disapproval,,noun,/nəʊ/,
no one,কেউ না,"Used in contrast to anyone, someone or everyone: not one person; nobody.",We went to the store but no one was there.,pronoun,/ˈnəʊ wʌn/,
nobody,কেউ,Someone who is not important or well-known.,"Whether you're a nobody or a player, everyone in Tinseltown wants to be King of Hollywood! - Conquering Hollywood",noun,/ˈnəʊ.bɒ.di/,
nod,নড,"An instance of inclining the head up and down, as to indicate agreement, or as a cursory greeting.",,noun,/nɔd/,
noise,গোলমাল,"Various sounds, usually unwanted or unpleasant.","He knew that it was trash day, when the garbage collectors made all the noise.",noun,/nɔɪz/,
noisy,কোলাহলপূর্ণ,"Making a noise, especially a loud unpleasant sound",the noisy crowd.,adjective,/ˈnɔːɪzɪ/,
non-,অ-,,,,,
none,কোনটি,A person without religious affiliation.,,noun,/nɒn/,
nonsense,আজেবাজে কথা,"Letters or words, in writing or speech, that have no meaning or pattern or seem to have no meaning.","After my father had a stroke, every time he tried to talk, it sounded like nonsense.",noun,/ˈnɒnsəns/,
nor,বা,"And not (introducing a negative statement, without necessarily following one).","Nor did I stop to think, but ran.",conjunction,/nɔː/,
normal,স্বাভাবিক,"A line or vector that is perpendicular to another line, surface, or plane.",,noun,/ˈnɔːməl/,
normally,স্বাভাবিকভাবে,Under normal conditions or circumstances; usually; most of the time,"Normally, I eat breakfast at 6am, but today, I got up late and didn't eat until 9.",adverb,,
north,উত্তর,"One of the four major compass points, specifically 0°, directed toward the North Pole, and conventionally upwards on a map, abbreviated as N.",Minnesota is in the north of the USA.,noun,/noːθ/,
northern,উত্তর,An inhabitant of the northern regions.,,noun,/ˈnɔːðn̩/,
nose,নাক,"A protuberance on the face housing the nostrils, which are used to breathe or smell.",She has a cold in the nose.,noun,/nəʊz/,
not,না,"A unary operation on logical values that changes true to false, and false to true.",,noun,/nɒt/,
note,নোট,(heading) A symbol or annotation.,,noun,/nəʊt/,
nothing,কিছুই না,"Something trifling, or of no consequence or importance.",,noun,/ˈnʌθɪŋ/,
notice,নোটিশ,The act of observing; perception.,"He took no notice of the changes, and went on as though nothing had happened.",noun,/ˈnəʊtɪs/,
noticeable,লক্ষণীয়,Capable of being seen or noticed.,,adjective,/ˈnəʊtɪsəbl̩/,
notion,ধারণা,"Mental apprehension of whatever may be known, thought, or imagined; idea, concept.",,noun,/ˈnəʊʃən/,
novel,উপন্যাস,"Newly made, formed or evolved; having no precedent; of recent origin; new.",,adjective,/ˈnɒvl̩/,
now,এখন,The present time.,Now is the right time.,noun,/naʊ/,
nowhere,কোথাও না,"No particular place, noplace.",They went on a cruise to nowhere.,noun,/ˈnəʊ.wɛə/,
nuclear,পারমাণবিক,Nuclear power,,noun,/ˈn(j)ukliɚ/,
number,সংখ্যা,An abstract entity used to describe quantity.,"Zero, one, −1, 2.5, and pi are all numbers.",noun,/ˈnʌmbə/,
numerous,অসংখ্য,"Indefinitely large numerically, many.",There are numerous definitions of the word 'man'.,adjective,/ˈnjuːməɹəs/,
nurse,নার্স,A wet nurse.,,noun,/nɜːs/,
nut,বাদাম,A hard-shelled seed.,"There are many sort of nuts: peanuts, cashews, pistachios, Brazil nuts and more.",noun,[nɐt],
o'clock,বাজে,"(modifying a numeral, one to twelve) In conjunction with a numeral, indicates the time within a twelve-hour period (midnight to noon or noon to midnight), specifically the time when the hour hand of a clock points precisely to the symbol or marking corresponding to the designated numeral.","(rare, nonstandard) What o'clock is it?",adverb,/əʊˈklɒk/,
obey,আনুগত্য করা,"To do as ordered by (a person, institution etc), to act according to the bidding of.",,verb,/əʊˈbeɪ/,
object,বস্তু,A thing that has physical existence.,,noun,/ˈɒb.d͡ʒɛkt/,
objective,উদ্দেশ্য,A material object that physically exists.,,noun,/ɒbˈd͡ʒɛk.tɪv/,
observation,পর্যবেক্ষণ,"The act of observing, and the fact of being observed (see observance)",,noun,/ˌɒbzəˈveɪʃ(ə)n/,
observe,পর্যবেক্ষণ,"To notice or view, especially carefully or with attention to detail.",From this vantage point we can observe the behavior of the animals in their natural habitat.,verb,/əbˈzɝv/,
obtain,প্রাপ্ত,"To get hold of; to gain possession of, to procure; to acquire, in any way.",,verb,/əbˈteɪn/,
obvious,স্পষ্ট,"Easily discovered, seen, or understood; self-explanatory.",,adjective,/ˈɒ.vɪəs/,
